
;これはEmueraの変数サイズ指定用ファイルです。
;このファイルをcsvフォルダ内に置くことで配列変数の要素の数を変えることが出来ます。
;VariableSize.CSV中でサイズを指定していない変数については標準の値が使われます。

;ABLNAMEなどのcsvから読む変数のサイズも変更できるようになりました。
;ABLとABLNAMEなど対応関係にある変数でも同期はしていませんのでそれぞれを変更する必要があります。
;ただしITEMNAME-ITEMPRICEだけは片方を変更すると他方も変更されます。

;RAND、CHARANUMなどのその都度計算される値については要素数を変更できません。
;NO、NAMEのような配列でない変数もサイズを指定することはできません。

;変数のサイズを変更してもセーブデータはそのまま使えますが、セーブされているサイズより変更後のサイズの方が小さい場合、はみ出たデータは失われます。
;また、セーブされているサイズがeramakerの標準の配列サイズより大きい場合、eramakerでデータをロードすると正常に動作しません。


;ITEMNAMEとITEMPRICEは片方を変更すると他方も同じ値に変更されます
ITEMNAME,1000
;ITEMPRICE,1000
EQUIPNAME,100
FLAGNAME,10000
CFLAGNAME,1000
TFLAGNAME,1000
STR,1000

DAY,100
MONEY,100
ITEM,1000
FLAG,10000
TFLAG,1000
UP,200
PALAMLV,100
EXPLV,100
EJAC,200
DOWN,200
RESULT,1000
COUNT,1000
TARGET,200
ASSI,200
MASTER,200
NOITEM,100
LOSEBASE,200
SELECTCOM,200
ASSIPLAY,200
PREVCOM,200

TIME,1000
ITEMSALES,1000
PLAYER,200
NEXTCOM,200
PBAND,200
BOUGHT,1000

A,1000
B,1000
C,1000
D,1000
E,1000
F,1000
G,1000
H,1000
I,1000
J,1000
K,1000
L,1000
M,1000
N,1000
O,1000
P,1000
Q,1000
R,1000
S,1000
T,1000
U,1000
V,1000
W,1000
X,1000
Y,1000
Z,1000

SAVESTR,200
RESULTS,100

BASE,100
MAXBASE,100
ABL,100
TALENT,1000
EXP,100
MARK,100
PALAM,200
SOURCE,100
EX,100
CFLAG,1000
JUEL,200
RELATION,200
EQUIP,100
TEQUIP,100
STAIN,100
GOTJUEL,200
NOWEX,100

CSTR,100
CUP,200
CDOWN,200
DOWNBASE,200
TCVAR,1000

TSTR,100

LOCAL,1000
LOCALS,100
ARG,1000
ARGS,100
GLOBAL,1000
GLOBALS,100

;変更不可。乱数システムが使用するため。
;RANDDATA,625

;二次元配列
CDFLAG, 100, 100
DITEMTYPE,1000,1000
DA,100,1000
DB,100,1000
DC,100,1000
DD,100,1000
DE,100,1000
